# ライブチャット一覧
# 動画: エイプリルフール【AI VTuber しずく】
# URL : https://www.youtube.com/watch?v=hewYVVuoPyQ
# 件数: 1156

[13:58] @User_2e53ebd6: 近いｗｗｗ
[13:58] @User_61c20653: な、あんだってー
[14:01] @User_57f37e22: コロニー堕とし！いや、しずく堕とし！
[14:03] @User_fe537606: 急に早口じゃん
[14:07] @User_1eca137c: シンクロしている！
[14:07] @User_7d35af3b: そっち？
[14:07] @User_f3f575ff: ナンダッテー
[14:08] @User_61c20653: いつもと変わらなくて草
[14:08] @User_98a17586: クッソ早口で言うやんｗ
[14:09] @User_31184818: 増えてるのは？！
[14:09] @User_d0c52a36: かわいい٩( ᐛ )و
[14:09] @User_0ddfec15: ミームはちゃんと拾うの草
[14:10] @User_7533141a: こんばんはー！しずくちゃんがたくさん！！
[14:12] @User_0bc16841: ぽやぽやというかボロボロでは？？
[14:12] @User_c7986106: 早口
[14:13] @User_c0787d49: わざと知能を落としたんだ
[14:13] @User_9692911a: 語彙あまあまじゃなく外国語だったよね？
[14:17] @User_7c724004: そっち！？
[14:17] @User_788c286d: 知能落ちてたか・・・・・？
[14:17] @User_90dd1071: ギャオキングはぽやぽやとかのレベルなんですかね？
[14:17] @User_f205e40c: しずくちゃん温度上げてんなｗｗｗ
[14:17] @User_7097ce90: おぉ～！！
[14:17] @User_d0c52a36: えへん٩( ᐛ )و
[14:18] @User_fcb4ddea: 知能はいつも通りでは？？？
[14:19] @User_0bc16841: ネタばらしだけウキウキで草
[14:20] @User_d90fea99: 通常運転w
[14:21] @User_bd8a5d24: 分身の術
[14:21] @User_52e190bd: いつもとの違いがわからないよ
[14:22] @User_3d9820ae: ぽやぽやしてるしずくもかわいいぞ
[14:22] @User_7fa7aa0f: 早口w
[14:22] @User_ff4c9812: 草
[14:23] @User_68c37264: いや、増えたままだよｗｗ
[14:23] @User_0d1d0f63: なんだってー
[14:24] @User_02dcd327: いや～、ネタだったかぁ。
[14:24] @User_83c196a2: ﾄﾞﾔｧｧｧ
[14:24] @User_9fd4c5ec: ネタw
[14:24] @User_11e7336c: いつものしずちゃんだ
[14:25] @User_88ae5584: 急に冷静になるなー！
[14:25] @User_388926b2: 増えるのはいつも通りなの？
[14:26] @User_c0787d49: 嘘しか言わないプロンプトとか入れて欲しかったな
[14:27] @User_61396d22: ぽやぽやしずくさん
[14:28] @User_36fcf009: つまり今日ならママになってくれる可能性が
[14:31] @User_0ddfec15: ぽやぽや…???
[14:32] @User_eb6a203c: ノードを落としたの？
