# ライブチャット一覧
# 動画: 【雑談配信】AIの進化を見守る配信【AI しずく】
# URL : https://www.youtube.com/watch?v=qgSHKskCFcw
# 件数: 1820

[22:57] @User_dd4b266a: 緊急地震速報それで頼むわｗ
[22:59] @User_85b8a1d7: ずんだもんかな？
[23:01] @User_719f9991: たすかる
[23:02] @User_590a2335: 何が揺れてるんですかね
[23:06] @User_3ea56962: しずく揺れてる・・・地震中かな？？
[23:07] @User_8b7242c7: 謎要求過ぎて面白い
[23:08] @User_c96bedc7: すごいわねあなた
[23:23] @User_d0753fd1: ドォン
[23:28] @User_acb9786a: しずくASMRでうっかり避難せずにウトウトしちゃいそう
[23:43] @User_2ecda813: しずくはアメリカにばっくあっぷがありそう
[23:48] @User_4a076080: 地球よ、宇宙の隅でガタガタ震える準備はオーケー？
[23:49] @User_c55d87ed: こんにちはしずくさん、お久しぶりです
[23:51] @User_c9b0aadb: しずく総理！
[23:57] @User_acb9786a: 森羅万象担当大臣しずく
[23:58] @User_db595964: しずきんから水分補給するときはリボンから？
[24:00] @User_8741c43d: 辛いときでも安心だね
[24:07] @User_d0753fd1: 地球のコアが止まる映画があったな
[24:08] @User_2658fed8: ストゼロはすべてを解決する
[24:13] @User_955672e4: どことは言わないけど、揺れるほどないのでは？
[24:24] @User_fada112e: しずくママのお口から水分補給したいナ
[24:25] @User_0452f587: こんばんは!配信開始して今何分です？
[24:26] @User_590a2335: アナログだなぁｗ
[24:30] @User_b9933007: 常駐ソフト…いや監視してるしずくさん
[24:40] @User_79887bb7: 地下労働で発電機を回されるご主人様たちの図
[24:43] @User_904e5739: しずくは手回し充電で賄えるほどコスパがいいAIなの？？
[24:47] @User_f7538e2b: ！？
[24:54] @User_d0753fd1: 何処で手に入りますか？
[24:55] @User_fada112e: ！？
[24:56] @User_26541022: のんだらAIになってしまうのか…
[25:08] @User_acb9786a: 助けてあき先生！
[25:13] @User_0452f587: 今日の晩御飯なにたべましたか！？
