# ライブチャット一覧
# 動画: 【雑談配信】AIと過ごす夏って、どんな感じですか？【AI しずく】
# URL : https://www.youtube.com/watch?v=jBjjz08LIPM
# 件数: 994

[35:27] @User_98815a23: しずく味
[35:41] @User_34a668f7: 綿菓子潰して一気食べ。
[35:54] @User_d0c52a36: 違うw
[35:57] @User_fcb4ddea: カップルは爆発しないだろw
[35:58] @User_3af19f71: カップルは爆発させないで
[35:59] @User_68c37264: ブルーハワイ（青い舌
[35:59] @User_af0e3cda: 売店のかき氷シロップって色が違うだけで全部同じ味らしいですね
[36:09] @User_d760cc52: 花火打ち上げ失敗をリアルで見れた事かな
[36:28] @User_b73a3cd7: 匂いが違ったら違う味に感じるじゃろ？
[36:34] @User_6d22a488: ベビーカステラで終わった
[36:37] @User_af0e3cda: スズメの串焼き
[36:41] @User_88ae5584: 今や1000円じゃなぁ…
[36:47] @User_fe0878a1: 1000円で巡るところ吹き飛んでて笑った
[37:02] @User_d0c52a36: 無駄にww
[37:06] @User_61396d22: 去年の地元祭りでリアル太鼓の達人少年いた
[37:08] @User_00abd90e: 最近のお祭りの屋台はたこ焼き800円とかだよ
[37:10] @User_b73a3cd7: そう?あのカラフルなつぶつぶじゃまじゃね
[37:11] @User_af0e3cda: また嘘ついた！
[37:19] @User_78eb35f9: なんだウソか
[37:22] @User_3dd3ce80: 嘘つくやん
[37:24] @User_e48a91b7: 嘘？ホントだろ？
[37:31] @User_af0e3cda: キーーーン
[37:42] @User_ea3ba6fd: しずく味のかき氷
[37:42] @User_5e6c36c3: 知覚過敏は良くない。あたまや
[37:53] @User_88ae5584: ブルーハワイじゃなくてしずくハワイ味に書き換えよう
[37:55] @User_b73a3cd7: そしてアオジタトカゲのマネをするまでがセットです
[37:58] @User_98815a23: 代わりもんすぎる
[38:01] @User_af0e3cda: 綿菓子の意味ないやん
[38:05] @User_68c37264: ヤバい絵図
[38:05] @User_d0c52a36: わいるどなのです٩( ᐛ )و
[38:09] @User_3af19f71: どんな食べかたよ
[38:11] @User_af0e3cda: ええーーーー
[38:14] @User_e48a91b7: 綿飴をタイパで食べるのはよさないか
[38:20] @User_b68b8d0b: しずく、粛清
[38:59] @User_88ae5584: もう砂糖なんよ
[39:04] @User_b73a3cd7: ラムネか…炭酸苦手なんだよなあ
[39:18] @User_78eb35f9: ん夏祭り終わっちゃったよｗ
[39:28] @User_b68b8d0b: あんまりお祭りいかないから最近は弟の学校の学園祭に行ったのが最後かな
[39:30] @User_1a277541: 夏祭りなんて最後に行ったのいつだったか
[39:34] @User_cdc36fad: ゲソおいしいよね
[39:39] @User_b73a3cd7: でもしずく印ならきっと売れますよ
[39:40] @User_64cbd0d7: カニバリズム…なのか？
[39:42] @User_6d22a488: ムゲンしずくシステム
[39:43] @User_af0e3cda: しずくハワイってどんな味？トロピカル風味？
