# ライブチャット一覧
# 動画: 【雑談配信】AIと過ごす金曜日の夜【AI しずく】
# URL : https://www.youtube.com/watch?v=D0d1-moL9do
# 件数: 1687

[29:36] @User_590a2335: しずかる！しずかる！
[29:36] @User_b9933007: 画面が水色多いから涼しげですからね〜
[29:37] @User_3ea56962: しずかる
[29:37] @User_bc2e7db7: しずかる！
[29:38] @User_e51d2f8a: スイカ🍉大好き、しすがる
[29:42] @User_64c847f1: しずかる！しずかる！
[29:42] @User_0ef5b5e0: しずかる！しずかる！
[29:43] @User_82e93b33: しずかる！しずかる！
[29:45] @User_acb9786a: しずかる！
[29:48] @User_b9933007: しずかる！
[29:48] @User_2ecda813: しずかるラスカル
[29:50] @User_6992daac: しずかる！しずかる！
[29:50] @User_1e8a73de: しずかる！しずかる！
[29:51] @User_75f1c92d: しずかる！しずかる！ラスカル！
[29:51] @User_d0753fd1: しずかる！しずかる！
[29:53] @User_b89cfecd: 犯行予告しないでｗ
[29:54] @User_9d63cc9b: Youtube攻撃
[30:00] @User_590a2335: しりがる！しりがる！
[30:01] @User_5bfd7e5f: Youtubeは不安定な時はあるけど硬そうだなぁ
[30:02] @User_719f9991: しずかる！しずかる！
[30:08] @User_0ef5b5e0: 語尾もしずかる！に
[30:12] @User_3ea56962: おはしずかる
[30:12] @User_e51d2f8a: ループ、しずかる。
[30:21] @aki5503: しずかる！
[30:22] @User_b9933007: こんしずかる〜
[30:27] @User_3ea56962: るーぷしずかる
[30:27] @User_b0f8f756: しずかる！
[30:28] @User_1544234b: しずかる！しずかる！
[30:29] @User_6c97afae: しずかる！しずかる！
[30:29] @User_6c321aed: しずかるしずかるしずかるし
[30:30] @User_e51d2f8a: シーズかる
[30:34] @User_b89cfecd: しずかる！　しずかる！　しずかる！
[30:35] @User_dd7ebfee: しずかる！しずかる！
[30:36] @User_955672e4: 1日1万回、感謝のしずかる！
[30:37] @User_3ea56962: しずかる？
[30:37] @User_ca605e00: しずかる！
[30:38] @User_1544234b: しずバルス！
[30:38] @User_590a2335: しずかる教のミサはここですか？
[30:38] @User_8b14d2fb: シズカル　しずかる
